learner,corpus,k_shot,method,mse_mean,mse_sem,mse_ci95,mae_mean,mae_sem,mae_ci95,delta_l2_mean,delta_l2_sem,delta_l2_ci95,delta_geo_mean,delta_geo_sem,delta_geo_ci95,seed_count
B1,T1,1,geo,0.09037218913435936,0.0026416473607561307,0.005177628827082016,0.23710135718186695,0.0036957812789311967,0.0072437313067051454,0.06700168912454198,0.006106650416191141,0.011969034815734636,0.0689488581471475,0.012775654961048828,0.0250402837236557,60
B1,T1,1,inner,0.08903942257165909,0.00266289679319462,0.005219277714661455,0.23490086644887925,0.003773160957105094,0.007395395475925984,0.04534937963083697,0.004560756210984376,0.008939082173529376,0.03488245101173864,0.006463437405592747,0.012668337314961784,60
B1,T1,1,none,0.0910412569840749,0.003188164200084104,0.006248801832164844,0.23651136457920074,0.004518573693605177,0.008856404439466148,0.0,0.0,0.0,0.0,0.0,0.0,60
B1,T1,1,ridge,0.09084442282716433,0.0026578280490676034,0.005209342976172503,0.23790505255262057,0.0037097005770247576,0.007271013130968525,0.0694356843091858,0.006981952483402787,0.013684626867469463,0.08188094613597059,0.015195848005384864,0.029783862090554333,60
B1,T1,4,geo,0.09020078008373579,0.0022058971076617992,0.004323558331017127,0.2373211418588956,0.002964552219486906,0.005810522350194336,0.15877834887554249,0.00881562071855317,0.017278616608364213,0.0651644155033864,0.006393298383780994,0.01253086483221075,60
B1,T1,4,inner,0.08596436399966478,0.0018625571400690435,0.0036506119945353254,0.2315708746512731,0.002686582879272225,0.0052657024433735615,0.11243987466829518,0.006319427071253065,0.012386077059656006,0.032966602529631926,0.0032343650014340073,0.006339355402810654,60
B1,T1,4,none,0.0910412569840749,0.003188164200084104,0.006248801832164844,0.23651136457920074,0.004518573693605177,0.008856404439466148,0.0,0.0,0.0,0.0,0.0,0.0,60
B1,T1,4,ridge,0.09116909839212894,0.0022997640378752456,0.004507537514235481,0.23863077461719512,0.003043659504398058,0.005965572628620193,0.16391110078742108,0.009106678285201784,0.017849089438995495,0.07229970203479752,0.007101800068591123,0.013919528134438601,60
B1,T1,8,geo,0.10083985216915607,0.0028429830571798744,0.005572246792072554,0.2507433332502842,0.003499082604277216,0.006858201904383344,0.299938773860534,0.012116701000850365,0.023748733961666716,0.0790400438165913,0.006088973877581372,0.01193438880005949,60
B1,T1,8,inner,0.08743725679814815,0.0017384535033362924,0.003407368866539133,0.23379343152046203,0.0023742571385104733,0.0046535439914805275,0.2131757105390231,0.008625449310993214,0.0169058806495467,0.039982975305368505,0.003080304876717126,0.006037397558365566,60
B1,T1,8,none,0.0910412569840749,0.003188164200084104,0.006248801832164844,0.23651136457920074,0.004518573693605177,0.008856404439466148,0.0,0.0,0.0,0.0,0.0,0.0,60
B1,T1,8,ridge,0.09571117050945759,0.002173195768533017,0.004259463706324713,0.24461520090699196,0.0028269388499526666,0.005540800145907227,0.27200028163691364,0.009823440462550492,0.019253943306598964,0.07801018638225893,0.006487541227135672,0.012715580805185917,60
B1,T1,16,geo,0.1481982926527659,0.009356108676013521,0.0183379730049865,0.2992699421942234,0.00793768741460809,0.015557867332631856,0.6112681190172832,0.02259477916724153,0.044285767167793394,0.08214051869387427,0.004868928832413893,0.00954310051153123,60
